Comment,Designator,Footprint,LCSC Part #,Note
"Pin header 1x5 2.54mm male, straight (ZHOURI 2.54-1*5)",J1,PinHeader_1x05_P2.54mm_Vertical,C5156614,THT; mating 6mm / tail 3mm / plastic 2.54mm (same as vein-base)
"Pin header 1x4 2.54mm male, straight (ZHOURI 2.54-1*4)",J2,PinHeader_1x04_P2.54mm_Vertical,C5116483,THT; mating 6mm / tail 3mm / plastic 2.54mm (same as vein-base)
Molex PicoBlade 53261-0471 (MX1.25 4P RA SMD),J3,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,C696092,Top side; opening faces the +y edge (vein module)
"MAX3232EIDR (TI, RS232 transceiver 3-5.5V)",U1,SOIC-16_3.9x9.9mm_P1.27mm,C193666,powered from 3V3
"100nF 50V X7R 0603","C1,C2,C3,C4,C5",C_0603_1608Metric,C14663,Basic part
"CTS 219-4LPSTRF (DIP switch 4P SPST, SMD gull wing, low profile)",SW1,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W8.61mm_P2.54mm_LowProfile,C3034155,set 1+2 ON (passthrough) after assembly
"DB9 male right angle, 4-40 screw lock (Ckmtw D-DMR009PM-D002)",J4,DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,C141880,THT; flange on the -y board edge
