Comment,Designator,Footprint,LCSC Part #,Note
"Pin header 1x5 2.54mm male, straight",J1,PinHeader_1x05_P2.54mm_Vertical,,THT
"Pin header 1x4 2.54mm male, straight",J2,PinHeader_1x04_P2.54mm_Vertical,,THT
Molex PicoBlade 53261-0471 (MX1.25 4P RA SMD),J3,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,,裏面実装。互換品可(寸法要確認)
