Footprint,Rotation,OffsetX,OffsetY
PinHeader_1x05_P2.54mm_Vertical,270,0,5.08
PinHeader_1x04_P2.54mm_Vertical,270,0,3.81
Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,0,0,-0.95
