Footprint,Rotation,OffsetX,OffsetY
Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal_NarrowMP,0,0,-0.95
SOT-23,180,0,0
JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,0,0,0
